epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,2445.02,1.18013,0.98116,1.35315,0.72754,0.75977,0.79043,0.45533,1.63302,1.03889,1.69878,0.0078022,0.0078022,0.0078022
113,2469.24,1.16281,0.95765,1.35205,0.6868,0.77885,0.76106,0.43664,1.60165,1.04938,1.7182,0.0077824,0.0077824,0.0077824
114,2492.16,1.17745,0.98951,1.3589,0.7581,0.82044,0.79441,0.45917,1.55054,0.97859,1.64059,0.0077626,0.0077626,0.0077626
115,2515.26,1.17398,0.97119,1.34161,0.74035,0.77403,0.76886,0.41278,1.62218,1.07521,1.73927,0.0077428,0.0077428,0.0077428
116,2538.51,1.17104,0.96118,1.34945,0.68714,0.78222,0.74433,0.43711,1.62629,1.01309,1.72875,0.007723,0.007723,0.007723
117,2561.52,1.16869,0.96577,1.36024,0.61751,0.73551,0.72966,0.36623,1.75084,1.23778,1.85468,0.0077032,0.0077032,0.0077032
118,2584.48,1.16562,0.95609,1.34728,0.70056,0.68519,0.75625,0.41586,1.56253,1.16338,1.70634,0.0076834,0.0076834,0.0076834
119,2607.47,1.16761,0.95719,1.34909,0.63423,0.65728,0.69189,0.39171,1.66907,1.21734,1.83276,0.0076636,0.0076636,0.0076636
120,2630.43,1.15147,0.94621,1.32865,0.73324,0.81578,0.785,0.48122,1.45998,0.92873,1.59027,0.0076438,0.0076438,0.0076438
121,2653.62,1.15432,0.93937,1.33493,0.8177,0.78537,0.82186,0.42941,1.63918,0.90109,1.72392,0.007624,0.007624,0.007624
122,2676.5,1.16987,0.9471,1.34577,0.71145,0.71591,0.72944,0.45096,1.55237,0.90185,1.65799,0.0076042,0.0076042,0.0076042
123,2699.64,1.14864,0.94271,1.33579,0.63661,0.77632,0.74787,0.46047,1.59145,0.96762,1.70536,0.0075844,0.0075844,0.0075844
124,2722.81,1.15871,0.924,1.34162,0.81922,0.75713,0.82386,0.48902,1.58571,0.89653,1.68218,0.0075646,0.0075646,0.0075646
125,2746.01,1.16119,0.94243,1.3359,0.69914,0.81237,0.83825,0.49315,1.57746,0.89791,1.66195,0.0075448,0.0075448,0.0075448
126,2769.5,1.15325,0.92503,1.34178,0.71758,0.68974,0.72294,0.42595,1.61933,1.0106,1.72774,0.007525,0.007525,0.007525
127,2793.29,1.14947,0.93138,1.32374,0.69162,0.8001,0.79137,0.49216,1.573,0.91623,1.70229,0.0075052,0.0075052,0.0075052
128,2817.03,1.1352,0.90787,1.32247,0.72903,0.77788,0.73912,0.40116,1.69845,1.01182,1.81741,0.0074854,0.0074854,0.0074854
129,2840.07,1.14391,0.9178,1.32824,0.73278,0.7609,0.76814,0.47649,1.49162,0.89666,1.61298,0.0074656,0.0074656,0.0074656
130,2863.42,1.11392,0.90411,1.3147,0.68449,0.7826,0.77988,0.46617,1.49422,0.93215,1.60865,0.0074458,0.0074458,0.0074458
131,2886.56,1.12492,0.90733,1.32091,0.73919,0.79605,0.81701,0.46854,1.52838,0.907,1.6856,0.007426,0.007426,0.007426
132,2909.65,1.1385,0.93134,1.33714,0.65833,0.66753,0.71249,0.43761,1.60149,1.05718,1.73244,0.0074062,0.0074062,0.0074062
133,2930.26,1.12729,0.90946,1.32261,0.68945,0.78776,0.76975,0.501,1.4367,0.89053,1.60857,0.0073864,0.0073864,0.0073864
134,2950.45,1.11193,0.9202,1.30742,0.70234,0.79778,0.77958,0.46571,1.58014,0.97793,1.70445,0.0073666,0.0073666,0.0073666
135,2970.4,1.13247,0.89573,1.31902,0.64763,0.85073,0.78706,0.48004,1.56291,0.84602,1.65022,0.0073468,0.0073468,0.0073468
136,2990.71,1.14356,0.92883,1.32569,0.67133,0.77897,0.75429,0.39329,1.76443,1.06949,1.84154,0.007327,0.007327,0.007327
137,3011,1.11244,0.88869,1.31335,0.76887,0.76453,0.79304,0.4679,1.55914,0.95923,1.68577,0.0073072,0.0073072,0.0073072
138,3031.25,1.10957,0.90193,1.31423,0.73883,0.68939,0.76071,0.46896,1.51676,0.97808,1.64522,0.0072874,0.0072874,0.0072874
139,3051.85,1.11476,0.8845,1.30606,0.67489,0.74602,0.74607,0.4301,1.65779,0.9477,1.79942,0.0072676,0.0072676,0.0072676
140,3072.74,1.10928,0.91617,1.31081,0.71345,0.8018,0.76204,0.4587,1.53904,0.92447,1.72653,0.0072478,0.0072478,0.0072478
141,3093.32,1.10477,0.88473,1.30178,0.70685,0.7665,0.76797,0.42338,1.66772,1.06272,1.80149,0.007228,0.007228,0.007228
142,3113.64,1.1107,0.88617,1.30946,0.70056,0.81894,0.80683,0.44426,1.63348,0.96185,1.73967,0.0072082,0.0072082,0.0072082
